Yr Mon Day Hr Min Sec Msec Bx[nT] By[nT] Bz[nT] Vx[km/s] Vy[km/s] Vz[km/s] N[cm^(-3)] T[Kelvin]
2003 9 2 0 46 0 0 0 11.49 -181.1 -1218.5 -9.7732 -7.6098 236.27 916920
2003 9 2 0 47 0 0 0 2.12 -192.17 -1245 17.881 3.5371 249.36 954600
2003 9 2 0 48 0 0 0 15.55 -191.11 -1343.5 -24.177 3.6871 258.33 963360
2003 9 2 0 49 0 0 0 14.29 -195.22 -1398.1 -0.36693 1.0507 269.72 960140
2003 9 2 0 50 0 0 0 17.59 -196.63 -1447.3 -29.232 -9.1287 277.79 961420
2003 9 2 0 51 0 0 0 16.9 -193.23 -1473.4 15.307 -18.339 284.73 964500
2003 9 2 0 52 0 0 0 -24.1 -194.25 -1512.5 12.926 4.7475 296.71 916920
2003 9 2 0 53 0 0 0 -24.14 -196.32 -1579.1 0.017431 -20.143 313.71 954600
2003 9 2 0 54 0 0 0 -10.35 -160.14 -1591.1 -1.0626 -15.483 329.9 963360
2003 9 2 0 55 0 0 0 0.32 -150.86 -1623.3 -37.294 19.968 362.67 960140
2003 9 2 0 56 0 0 0 26.46 -183.65 -1665.8 8.7175 -6.2835 379.75 961420
2003 9 2 0 57 0 0 0 29.33 -192.17 -1692 -32.886 -2.1048 391.61 930180
2003 9 2 0 58 0 0 0 23.78 -191.11 -1713.5 -34.79 13.497 408.9 987660
2003 9 2 0 59 0 0 0 28.99 -195.22 -1744.8 1.199 -4.5017 423.51 925550
2003 9 2 1 0 0 0 0 27.26 -197 -1764.3 -14.227 15.44 425.53 899730
2003 9 2 1 1 0 0 0 27.48 -196.63 -1796.6 6.1724 -5.176 424.26 828850
2003 9 2 1 2 0 0 0 24.51 -183.23 -1838.9 10.155 15.192 420.67 930180
2003 9 2 1 3 0 0 0 15.85 -194.25 -1878.9 12.866 9.44 423.31 987660
2003 9 2 1 4 0 0 0 28.95 -193.23 -1938.9 -10.367 -3.1952 421.53 925550
2003 9 2 1 5 0 0 0 23.03 -194.25 -1937.5 6.7407 -12.985 424.46 899730
2003 9 2 1 6 0 0 0 6.59 -198.33 -1934.5 1.5094 -15.647 422.17 828850
2003 9 2 1 7 0 0 0 5.15 -196.32 -1935.3 12.391 -4.051 418.98 730150
2003 9 2 1 8 0 0 0 -6.77 -190.14 -1936.6 8.0424 -6.5721 415.96 631780
2003 9 2 1 9 0 0 0 -10.53 -192.17 -1939.9 13.468 -6.1301 414.02 652000
2003 9 2 1 10 0 0 0 -16.32 -171.11 -1937.5 -1.9791 14.753 415.91 678310
2003 9 2 1 11 0 0 0 -28.04 -165.22 -1935.7 -2.208 -4.4655 412.77 761900
2003 9 2 1 12 0 0 0 -21.54 -177 -1934.1 15.117 17.155 423.51 790390
2003 9 2 1 13 0 0 0 -27.82 -196.63 -1936.6 -31.855 -7.9743 425.53 821310
2003 9 2 1 14 0 0 0 -28.05 -193.23 -1933.2 -7.5688 14.588 424.26 870670
2003 9 2 1 15 0 0 0 -26.12 -195.34 -1935.3 -19.059 -7.8338 420.67 899320
2003 9 2 1 16 0 0 0 -27.7 -201.9 -1936.6 -5.7387 2.6487 423.31 980290
2003 9 2 1 17 0 0 0 -27.75 -191.92 -1925.5 9.7302 14.561 418.98 996620
2003 9 2 1 18 0 0 0 -25.07 -207.08 -1920 12.386 -6.2096 415.96 993050
2003 9 2 1 19 0 0 0 -25.48 -197.89 -1914.8 -15.223 -6.5741 414.02 989300
2003 9 2 1 20 0 0 0 -15.01 -201.05 -1926.6 -7.066 30.051 415.91 992410
2003 9 2 1 21 0 0 0 2.73 -201.67 -1913.2 2.0553 14.265 416.77 921790
2003 9 2 1 22 0 0 0 19.84 -206.52 -1915.3 -4.3779 -6.4801 423.51 905330
2003 9 2 1 23 0 0 0 22.84 -208.94 -1916.6 4.5273 9.7341 425.53 937310
2003 9 2 1 24 0 0 0 20.41 -215.98 -1915.3 5.9989 -5.4011 424.26 910290
2003 9 2 1 25 0 0 0 13.04 -219.64 -1915.6 -13.949 10.588 420.67 994160
2003 9 2 1 26 0 0 0 15.29 -181.92 -1913.4 -2.6524 21.238 423.31 963380
2003 9 2 1 27 0 0 0 17.61 -169.07 -1915.5 -31.981 -24.068 421.53 944610
2003 9 2 1 28 0 0 0 13.65 -182.18 -1916 17.181 15.433 424.46 937770
2003 9 2 1 29 0 0 0 -7.62 -210.77 -1915.5 -9.4364 21.87 422.17 920730
2003 9 2 1 30 0 0 0 -16.11 -163.98 -1916 -18.057 0.71207 418.98 925990
2003 9 2 1 31 0 0 0 -23.95 -188.35 -1915.6 -3.8091 26.194 417.96 909860
2003 9 2 1 32 0 0 0 -27.14 -217.79 -1913.2 -21.429 2.3308 416.02 891220
2003 9 2 1 33 0 0 0 -25.28 -225.96 -1914.8 -0.31287 -18.557 415.91 875310
2003 9 2 1 34 0 0 0 -24.34 -227.6 -1915.6 -8.4099 -32.902 421.77 851980
2003 9 2 1 35 0 0 0 -26.97 -218.15 -1917.9 32.667 -5.0011 423.51 812900
2003 9 2 1 36 0 0 0 -18.05 -222.23 -1929.7 17.078 10.703 425.53 707600
2003 9 2 1 37 0 0 0 -21.02 -218.48 -1924.3 -37.454 4.7611 424.26 742310
2003 9 2 1 38 0 0 0 -16.95 -219.89 -1925.6 6.62 6.2042 421.53 759860
2003 9 2 1 39 0 0 0 -19.09 -215.04 -1913.2 -20.971 -8.6563 420.46 791220
2003 9 2 1 40 0 0 0 -15.43 -203.02 -1914.8 -3.8259 2.16 422.17 765330
2003 9 2 1 41 0 0 0 -24.92 -191.16 -1915.3 2.466 -24.58 418.98 737310
2003 9 2 1 42 0 0 0 -23.24 -199.37 -1916.6 11.216 -11.401 415.96 740290
2003 9 2 1 43 0 0 0 -11.79 -209.74 -1913.2 -4.0958 -12.282 417.02 774160
2003 9 2 1 44 0 0 0 -19.55 -214.27 -1914.8 23.645 7.7959 415.91 763380
2003 9 2 1 45 0 0 0 -20.33 -207.93 -1913.2 -7.2141 -0.2124 422.77 675310
2003 9 2 1 46 0 0 0 -22.66 -204.26 -1914.8 4.9127 -17.333 423.51 651980
2003 9 2 1 47 0 0 0 -15.78 -213.74 -1915.6 9.971 -0.14287 425.53 685320
2003 9 2 1 48 0 0 0 -7.26 -206.55 -1917.9 1.2778 -10.347 421.26 545650
2003 9 2 1 49 0 0 0 -9.88 -217.93 -1916.7 13.214 -10 420.67 531900
2003 9 2 1 50 0 0 0 1.88 -219.42 -1914.3 4.8482 12.962 423.31 765020
2003 9 2 1 51 0 0 0 21.47 -219.35 -1915.6 -11.762 1.7013 421.53 765020
2003 9 2 1 52 0 0 0 23.55 -218.73 -1913.2 -27.081 5.9754 424.46 767490
2003 9 2 1 53 0 0 0 26.5 -214.81 -1914.8 27.879 13.26 422.17 685320
2003 9 2 1 54 0 0 0 10.07 -207.63 -1915.3 -9.0679 2.7039 418.98 695650
2003 9 2 1 55 0 0 0 22.04 -203.76 -1916.6 1.5504 8.2628 415.96 557820
2003 9 2 1 56 0 0 0 21.66 -218.63 -1913.2 8.4475 10.244 414.02 552230
2003 9 2 1 57 0 0 0 21.7 -218.73 -1911.2 1.704 17.559 415.91 554420
2003 9 2 1 58 0 0 0 20.14 -214.62 -1902.2 -13.571 7.1379 412.77 458700
2003 9 2 1 59 0 0 0 28.92 -204.1 -1898 -7.0156 21.183 413.72 341340
2003 9 2 2 0 0 0 0 28.18 -192.56 -1893.5 -1.8734 0.33913 412.72 307250
2003 9 2 2 1 0 0 0 16.62 -189.23 -1887 22.185 -0.71804 417.42 294380
2003 9 2 2 2 0 0 0 11.21 -183.86 -1880.1 -12.912 25.52 426.27 281630
2003 9 2 2 3 0 0 0 7.67 -181.53 -1874.4 11.77 -7.6457 423.51 270110
2003 9 2 2 4 0 0 0 2.34 -189.45 -1870 4.6293 -0.042824 425.53 256600
2003 9 2 2 5 0 0 0 -3.24 -197.48 -1866 -3.5079 13.798 423.72 239040
2003 9 2 2 6 0 0 0 -4.5 -206.21 -1861 -15.855 2.2471 424.26 224380
2003 9 2 2 7 0 0 0 -4.62 -217.82 -1857 -4.2621 21.074 422.66 221630
2003 9 2 2 8 0 0 0 -8.53 -226.22 -1851.1 -1.3004 15.512 420.67 270110
2003 9 2 2 9 0 0 0 -9.25 -229.91 -1845 -22.041 4.3736 418.98 268600
2003 9 2 2 10 0 0 0 -8.59 -226.29 -1839 2.8827 -11.665 415.96 289040
2003 9 2 2 11 0 0 0 -7.2 -212.93 -1833 -12.334 8.5004 416.91 275110
2003 9 2 2 12 0 0 0 -19.97 -233.05 -1827 -1.4136 -20.739 414.02 265110
2003 9 2 2 13 0 0 0 -18.31 -218.88 -1820 5.0431 3.6671 415.91 264380
2003 9 2 2 14 0 0 0 -9.42 -221.71 -1813.3 -13.57 12.127 412.77 251630
2003 9 2 2 15 0 0 0 -2.46 -224.03 -1804 -4.3239 3.1956 413.72 240110
2003 9 2 2 16 0 0 0 -1.57 -226.3 -1796.4 5.2509 13.195 412.72 266600
2003 9 2 2 17 0 0 0 3.44 -211.97 -1788.1 -27.539 30.583 410.02 239040
2003 9 2 2 18 0 0 0 3.61 -229.64 -1879 15.54 13.859 411.71 285110
2003 9 2 2 19 0 0 0 -0.77 -228.22 -1774.6 36.367 4.0038 410.71 295110
2003 9 2 2 20 0 0 0 3.1 -225.44 -1768 14.391 9.6249 409.34 274380
2003 9 2 2 21 0 0 0 4.97 -233.94 -1763 -4.7366 6.3823 407.26 281630
2003 9 2 2 22 0 0 0 5.91 -227.5 -1757 6.4293 -19.721 406.25 278110
2003 9 2 2 23 0 0 0 11.4 -214.36 -1751.4 -15.54 -6.2462 404.3 276600
2003 9 2 2 24 0 0 0 12.29 -205.05 -1746 28.168 18.37 405.3 269040
2003 9 2 2 25 0 0 0 10.27 -224.71 -1739 14.111 -0.65376 403.4 255110
2003 9 2 2 26 0 0 0 20.16 -238.34 -1732 11.81 8.7363 402.29 245110
2003 9 2 2 27 0 0 0 19.13 -220.29 -1725 -13.138 -15.098 403.21 244380
2003 9 2 2 28 0 0 0 24.4 -194.81 -1719 4.7992 0.96775 401.3 241630
2003 9 2 2 29 0 0 0 30.99 -177.77 -1711 -8.3743 9.0044 398.22 241110
2003 9 2 2 30 0 0 0 29.91 -170.26 -1703 -4.6715 -20.423 395.22 246600
2003 9 2 2 31 0 0 0 28.43 -159.44 -1693.4 -8.5502 5.2139 393.55 249040
2003 9 2 2 32 0 0 0 29.44 -187.09 -1684 -15.386 -2.7276 388.55 246040
2003 9 2 2 33 0 0 0 20.48 -138.11 -1678 -13.631 -14.093 384.27 458700
2003 9 2 2 34 0 0 0 18.74 -99.69 -1670.1 -3.1485 -0.563 381.27 441340
2003 9 2 2 35 0 0 0 19.95 -121.84 -1660 -25.483 -28.445 376.02 407250
2003 9 2 2 36 0 0 0 17.25 -148.11 -1652 9.114 -31.92 375.03 394380
2003 9 2 2 37 0 0 0 20.65 -163.33 -1647 -1.767 -17.654 376.31 271630
2003 9 2 2 38 0 0 0 30.02 -160.28 -1637.8 10.487 -14.858 373.36 380110
2003 9 2 2 39 0 0 0 29.59 -178.55 -1629 4.0447 -17.595 371.37 356600
2003 9 2 2 40 0 0 0 20.58 -195.08 -1623 7.4143 -25.881 367.34 239040
2003 9 2 2 41 0 0 0 29.88 -204.6 -1614 -22.247 4.3234 364.22 224380
2003 9 2 2 42 0 0 0 28.4 -201.77 -1605 -15.304 -23.913 362.56 221630
2003 9 2 2 43 0 0 0 19.51 -193.15 -1596 -6.705 1.6533 362.46 270110
2003 9 2 2 44 0 0 0 12.05 -202.76 -1589 1.6449 11.806 363.32 266600
2003 9 2 2 45 0 0 0 7.97 -205.57 -1582 16.931 -0.033402 360.33 259040
2003 9 2 2 46 0 0 0 5.66 -212.79 -1577 -4.3494 1.3966 354.38 285110
2003 9 2 2 47 0 0 0 4.54 -215.57 -1571 18.924 -5.6724 346.49 265110
2003 9 2 2 48 0 0 0 8.35 -208.15 -1568 7.1313 -22.24 341.38 264380
2003 9 2 2 49 0 0 0 9.43 -220.29 -1561 17.611 -0.65728 337.41 251630
2003 9 2 2 50 0 0 0 11.75 -221.45 -1556 1.9043 14.412 332.26 240110
2003 9 2 2 51 0 0 0 11.58 -223.64 -1544 -9.8523 26.074 325.86 246600
2003 9 2 2 52 0 0 0 12.54 -229.22 -1520.1 -22.221 -6.4531 320.49 239040
2003 9 2 2 53 0 0 0 14.34 -228.17 -1508 2.3323 -24.41 313.69 285110
2003 9 2 2 54 0 0 0 13.54 -223.46 -1496 12.278 2.4952 294.38 295110
2003 9 2 2 55 0 0 0 13.21 -224.96 -1489.2 -4.3889 5.644 266.49 214380
2003 9 2 2 56 0 0 0 12.96 -227.14 -1584.3 -8.1119 -3.4043 237.41 281630
2003 9 2 2 57 0 0 0 13.04 -229.93 -1567 -4.6296 -17.234 205.86 228110
2003 9 2 2 58 0 0 0 13.56 -207.19 -1542.2 -16.449 30.365 223.69 276600
2003 9 2 2 59 0 0 0 14.39 -172.75 -1511.5 -7.3952 -35.393 244.69 269040
2003 9 2 3 0 0 0 0 14.22 -189.02 -1491 -2.7111 -7.6496 278.2 255110
2003 9 2 3 1 0 0 0 13.74 -200.13 -1464.5 0.68761 -19.824 286.48 245110
2003 9 2 3 2 0 0 0 17.22 -191.79 -1447 -0.95675 -9.5419 297.59 244380
2003 9 2 3 3 0 0 0 15.35 -184.17 -1425 9.1701 4.7678 292.59 241630
2003 9 2 3 4 0 0 0 15.26 -172.18 -1391.1 1.6398 2.0707 286.39 241110
2003 9 2 3 5 0 0 0 14.58 -134.82 -1367 27.21 -10.661 259.38 246600
2003 9 2 3 6 0 0 0 15.8 -139.18 -1336.6 4.6803 11.655 235.29 249040
2003 9 2 3 7 0 0 0 17.09 -135.93 -1294 27.067 9.3359 238.46 246040
2003 9 2 3 8 0 0 0 19.36 -138.72 -1261.8 -10.847 9.7107 216.36 256600
2003 9 2 3 9 0 0 0 18.35 -96.52 -1233 7.8982 -6.3845 181.03 239040
2003 9 2 3 10 0 0 0 18.29 -104.54 -1212 -3.9037 15.729 145.42 224380
2003 9 2 3 11 0 0 0 18.84 -106.98 -1188.1 9.0021 9.9106 109.23 221630
2003 9 2 3 12 0 0 0 18 -117.49 -1126.6 8.9089 37.632 84.32 270110
2003 9 2 3 13 0 0 0 17.27 -107.13 -1099.1 -32.79 15.952 67.58 266600
2003 9 2 3 14 0 0 0 16.36 -98.55 -1077 -19.905 17.354 48.35 289040
2003 9 2 3 15 0 0 0 16.87 -89.75 -1029.2 -21.615 0.79468 35.39 270110
2003 9 2 3 16 0 0 0 17.83 -79.91 -1001.9 6.0276 -19.326 31.27 256600
2003 9 2 3 17 0 0 0 16.87 -71.84 -987.4 22.053 -5.5683 36.45 239040
2003 9 2 3 18 0 0 0 14.79 -67.93 -988.1 -4.9021 -11.367 32.41 275110
2003 9 2 3 19 0 0 0 5.09 -59.62 -991 12.185 -8.4595 28.43 265110
2003 9 2 3 20 0 0 0 12.13 -51 -986 8.1831 8.3271 24.46 264380
2003 9 2 3 21 0 0 0 16.64 -47.45 -987 -15.774 -8.3517 20.48 251630
2003 9 2 3 22 0 0 0 17.8 -42.49 -990 5.962 -13.427 57.91 240110
2003 9 2 3 23 0 0 0 17.96 -34.73 -984 -11.278 -6.1399 48.27 246600
2003 9 2 3 24 0 0 0 17.35 -25.97 -978.5 22.744 -2.4133 49.45 239040
2003 9 2 3 25 0 0 0 15.45 -21.68 -969 -0.4885 6.14 36.41 255110
2003 9 2 3 26 0 0 0 13.62 -19.68 -956.8 24.54 -14.29 32.43 265110
2003 9 2 3 27 0 0 0 13.43 -22.06 -947 -6.3759 4.7598 44.46 214380
2003 9 2 3 28 0 0 0 15.04 -17.82 -936 8.8415 1.1703 39.39 231630
2003 9 2 3 29 0 0 0 15.76 -17.93 -927.8 -0.94186 19.866 48.27 228110
2003 9 2 3 30 0 0 0 15.3 -16.93 -919.7 -30.33 -3.1976 46.41 276600
2003 9 2 3 31 0 0 0 15.79 -13.28 -909.2 -14.732 -2.0172 42.43 269040
2003 9 2 3 32 0 0 0 12.92 -5.2 -897.3 9.1876 -17.57 36.41 255110
2003 9 2 3 33 0 0 0 14.54 -17.92 -890 -0.82329 -20.779 32.43 235110
2003 9 2 3 34 0 0 0 13.22 -6.02 -886.6 -16.78 4.6576 25.48 264380
2003 9 2 3 35 0 0 0 9.85 -0.16 -879 -9.3957 -3.7423 37.91 241630
2003 9 2 3 36 0 0 0 2.27 5.67 -867.3 3.7428 7.5562 25.39 264380
2003 9 2 3 37 0 0 0 4.3 8.56 -860 -14.895 -13.39 16.45 251630
2003 9 2 3 38 0 0 0 4.2 12.94 -854.6 14.624 28.628 12.41 240110
2003 9 2 3 39 0 0 0 4.97 17.42 -843.7 -9.6106 1.8335 17.45 246600
2003 9 2 3 40 0 0 0 7.27 17.02 -838.2 27.133 15.705 11.41 239040
2003 9 2 3 41 0 0 0 8.56 9.17 -831.8 -16.199 -3.4038 19.45 245110
2003 9 2 3 42 0 0 0 9.71 -11.55 -827.38 2.9878 -2.4375 15.41 255110
2003 9 2 3 43 0 0 0 9.71 -15.08 -820.15 -22.815 10.351 13.45 214380
2003 9 2 3 44 0 0 0 3.26 2.2 -812.17 -10.854 8.3364 12.41 281630
2003 9 2 3 45 0 0 0 1.77 12.77 -799 -8.8988 -16.804 4.43 228110
2003 9 2 3 46 0 0 0 1.9 8.87 -791 6.0201 -22.99 5.46 276600
2003 9 2 3 47 0 0 0 1.99 3.61 -789.9 14.132 -16.468 5.48 269040
2003 9 2 3 48 0 0 0 4.55 0.04 -783 4.5073 -21.237 7.91 255110
2003 9 2 3 49 0 0 0 5.22 -9.23 -778.97 -5.596 0.89356 7.43 245110
2003 9 2 3 50 0 0 0 4.7 -7.21 -773.23 12.232 -6.1688 6.91 244380
2003 9 2 3 51 0 0 0 4.47 -18.24 -768.96 11.983 -5.5202 5.39 241630
2003 9 2 3 52 0 0 0 4.99 -11.61 -775.73 1.8032 -20.414 21.3 270110
2003 9 2 3 53 0 0 0 6.11 -5.93 -765.44 8.5688 11.694 12.46 266600
2003 9 2 3 54 0 0 0 6.24 -2.52 -744.3 6.192 6.5912 9.12 249040
2003 9 2 3 55 0 0 0 5.24 -1.09 -731.37 -14.804 -1.3443 8.78 275110
2003 9 2 3 56 0 0 0 6.86 -2.01 -749.9 11.394 15.318 10.39 255110
2003 9 2 3 57 0 0 0 6.68 -2 -743 -9.858 -13.11 8.66 264380
2003 9 2 3 58 0 0 0 5.82 5.44 -758.97 -9.0588 6.2205 13.45 251630
2003 9 2 3 59 0 0 0 4.34 8.36 -763.23 2.6542 5.2266 9.39 240110
2003 09 02 04 00 00 0 0 4.34 8.36 -763.23 2.6542 5.2266 9.39 240110
